Anastasia Latynskaya;Mirantis;1900-01-01;2100-01-01;3
anc;HP;2013-07-15;2100-01-01;2
Andre Pech;Arista Networks;1900-01-01;2100-01-01;1
Andrea Frittoli;HP;1900-01-01;2100-01-01;9
Andrea Rosa;HP;1900-01-01;2100-01-01;8
Andreas Jaeger;SUSE;1900-01-01;2100-01-01;260
Andrew Bogott;Wikimedia Foundation;1900-01-01;2100-01-01;55
Andrew Clay Shafer;Cloudscaling;1900-01-01;2100-01-01;4
Andrew Forrest;AT&T;1900-01-01;2100-01-01;3
Andrew Glen-Young;Canonical;1900-01-01;2100-01-01;1
Andrew James;HP;1900-01-01;2100-01-01;1
Andrew Laski;Rackspace;1900-01-01;2100-01-01;68
Andrew Melton;Rackspace;1900-01-01;2100-01-01;4
Andrew Plunk;Rackspace;1900-01-01;2100-01-01;13
Andrew Tranquada;Rackspace;1900-01-01;2100-01-01;1
Andrey Brindeyev;Grid Dynamics;1900-01-01;2100-01-01;4
Andrey Shestakov;Mirantis;2013-08-14;2100-01-01;6
Andy Chong;Delta;1900-01-01;2100-01-01;60
Andy Edmonds;Nebula;2012-07-20;2100-01-01;2
Andy Hill;Rackspace;1900-01-01;2100-01-01;2
Andy McCallum;Aptira;1900-01-01;2100-01-01;2
Andy McCrae;Rackspace;1900-01-01;2100-01-01;8
Andy Southgate;Citrix;1900-01-01;2100-01-01;12
Angus Salkeld;Red Hat;1900-01-01;2100-01-01;506
Anita Kuno;eNovance;2012-11-26;2100-01-01;36
Anju Tiwari;NEC;1900-01-01;2100-01-01;10
Ann Kamyshnikova;Mirantis;1900-01-01;2100-01-01;18
Anna Shen;HP;2012-11-15;2100-01-01;16
Annapoornima Koppad;-Individual;1900-01-01;2100-01-01;2
Anne Gentle;Rackspace;2010-09-21;2100-01-01;35
annegentle;Rackspace;1900-01-01;2100-01-01;754
Anson Y.W;UnitedStack;1900-01-01;2100-01-01;1
Ante Karamatic;Canonical;1900-01-01;2100-01-01;5
Antoine Musso;Wikimedia Foundation;1900-01-01;2100-01-01;70
Anton Frolov;Mirantis;1900-01-01;2100-01-01;4
Anton V. Yanchenko;Mirantis;1900-01-01;2100-01-01;3
Antony Messerli;Rackspace;1900-01-01;2100-01-01;7
Arata Notsu;VirtualTech;2012-08-22;2100-01-01;63
Arathi;Persistent;1900-01-01;2100-01-01;3
Armando Migliaccio;Citrix;1900-01-01;2012-04-01;82
Armando Migliaccio;Internap;2012-04-01;2100-01-01;22
armando-migliaccio;Nicira;2013-04-25;2100-01-01;60
Arnaud Fabre;CSC;1900-01-01;2100-01-01;26
Arnaud Legendre;VMware;1900-01-01;2100-01-01;1
Arvind Somy;Cisco Systems;1900-01-01;2100-01-01;37
Arvind Somya asomya@cisco.com;Cisco Systems;2011-06-24;2100-01-01;2
Arvind Tiwari;HP;2013-09-18;2100-01-01;1
Ashish Chandra;NTT;1900-01-01;2100-01-01;3
Ashley McNamara;-Individual;1900-01-01;2100-01-01;1
Aswad Rangnekar;NTT;2013-07-12;2100-01-01;2
atul jha;CSS Corp;1900-01-01;2100-01-01;22
Auston McReynolds;eBay;1900-01-01;2100-01-01;6
Avinash Prasad;NTT;1900-01-01;2100-01-01;2
Avishay Balderman;Radware;1900-01-01;2100-01-01;8
Avishay Traeger;IBM;1900-01-01;2100-01-01;79
ayoung;Red Hat;1900-01-01;2100-01-01;1
Baodong (Robert) Li;Cisco Systems;1900-01-01;2100-01-01;4
Bartosz Górski;-Individual;1900-01-01;2100-01-01;15
Belmiro Moreira;CERN;1900-01-01;2100-01-01;5
Ben Andrews;Nebula;1900-01-01;2100-01-01;2
Ben McCann;Connectifier Inc.;1900-01-01;2100-01-01;1
Ben McGraw;Piston Cloud;1900-01-01;2100-01-01;2
Ben Nemec;-Individual;2013-07-13;2013-09-08;17
Ben Nemec;IBM;1900-01-01;2013-07-12;17
Ben Nemec;Red Hat;2013-09-08;2100-01-01;9
Ben Swartzlander;NetApp;1900-01-01;2100-01-01;18
Benjamin Kerensa;Canonical;1900-01-01;2100-01-01;2
berlin;VMware;1900-01-01;2100-01-01;2
Bernhard M. Wiedemann;SUSE;1900-01-01;2100-01-01;6
Bhuvan Arumugam;IBM;1900-01-01;2100-01-01;37
Bill Owen;IBM;2013-07-23;2100-01-01;12
Bill Rich;RightScale Inc.;1900-01-01;2100-01-01;3
Bob Ball;Citrix;1900-01-01;2100-01-01;22
Bob Kukura;Red Hat;1900-01-01;2100-01-01;34
Bob Melander;Cisco Systems;1900-01-01;2100-01-01;3
boden;IBM;1900-01-01;2100-01-01;1
Boris Filippov;Grid Dynamics;1900-01-01;2100-01-01;11
Boris Pavlovic;Mirantis;1900-01-01;2100-01-01;78
Brad Hall;Nicira;1900-01-01;2012-07-23;90
Brad Knowles;Momentum SI;1900-01-01;2100-01-01;3
Brad McConnell bmcconne@rackspace.com;Rackspace;1900-01-01;2100-01-01;3
Brad Pokorny;IBM;2013-07-29;2100-01-01;7
Brad Topol;IBM;1900-01-01;2100-01-01;4
Bradley Jones;Cisco Systems;1900-01-01;2100-01-01;3
Brandon Holtsclaw;-Individual;1900-01-01;2100-01-01;2
Brant Knudson;IBM;1900-01-01;2100-01-01;78
Brendan Maguire;Dell;2011-09-28;2100-01-01;3
Brent Eagles;Red Hat;1900-01-01;2100-01-01;11
Brent Roskos;Internap;1900-01-01;2100-01-01;2
Brian Cline;IBM;1900-01-01;2100-01-01;7
Brian Curtin;Rackspace;2013-09-19;2100-01-01;1
Brian D. Burns;-Individual;1900-01-01;2100-01-01;3
Brian Elliott;Rackspace;1900-01-01;2100-01-01;92
Brian Haley;HP;1900-01-01;2100-01-01;7
Brian Rosmaita;Rackspace;1900-01-01;2100-01-01;15
Brian Schott;ISI;1900-01-01;2100-01-01;3
Brian Waldon;Nebula;2012-07-20;2100-01-01;207
Brian Waldon;Rackspace;1900-01-01;2012-07-20;764
brian-lamar;Rackspace;1900-01-01;2100-01-01;319
Brianna Poulos;JHU APL;1900-01-01;2100-01-01;2
Brooklyn Chen;Canonical;1900-01-01;2100-01-01;10
Bruno Semperlotti;-Individual;1900-01-01;2100-01-01;1
Bryan D. Payne;Nebula;1900-01-01;2100-01-01;8
Bryan Davidson;Rackspace;2013-03-14;2100-01-01;6
Burt Holzman;Fermilab;1900-01-01;2100-01-01;13
Carl Baldwin;HP;1900-01-01;2100-01-01;9
Carlos D. Garza;Rackspace;2013-05-24;2100-01-01;2
Carlos Marin;Rackspace;1900-01-01;2100-01-01;11
Cedric Soulas;Cloudwatt;1900-01-01;2100-01-01;2
Cerberus;Rackspace;1900-01-01;2100-01-01;279
Chang Bo Guo;IBM;2013-05-29;2100-01-01;33
Changbin Liu;AT&T;1900-01-01;2100-01-01;2
Charles V Bock;Intel;2013-08-12;2100-01-01;1
Cheng Hui;Sina;1900-01-01;2013-10-03;2
Chet Burgess;Metacloud;1900-01-01;2100-01-01;19
Chiradeep Vittal;Citrix Systems;1900-01-01;2100-01-01;24
Chmouel Boudjnah;eNovance;2012-10-01;2100-01-01;53
Chmouel Boudjnah;Rackspace;1900-01-01;2012-10-01;109
Chris Alfonso;Red Hat;1900-01-01;2100-01-01;80
Chris Allnutt;Rackspace;1900-01-01;2100-01-01;1
Chris Behrens;Rackspace;1900-01-01;2100-01-01;463
chris fattarsi;Piston Cloud;1900-01-01;2100-01-01;8
Chris Johnson;HP;1900-01-01;2100-01-01;1
Chris Jones;Canonical;2012-10-24;2100-01-01;53
Chris Krelle;-Individual;1900-01-01;2100-01-01;54
Chris Ricker;Cisco Systems;1900-01-01;2100-01-01;2
Chris Wedgwood;Cloudscaling;1900-01-01;2100-01-01;5
Chris Yeoh;IBM;1900-01-01;2100-01-01;161
Christian Berendt;B1 Systems;1900-01-01;2100-01-01;125
Christian Schwede;DKRZ;1900-01-01;2100-01-01;4
Christoph Gysin;Ericsson;1900-01-01;2100-01-01;1
Christoph Kassen;Deutsche Telekom;1900-01-01;2100-01-01;2
Christoph Thiel;SUSE;1900-01-01;2100-01-01;6
Christophe Sauthier;Objectif-libre;1900-01-01;2100-01-01;5
Christopher Armstrong;Rackspace;2013-06-06;2100-01-01;5
Christopher Lefelhocz;Rackspace;2013-08-29;2100-01-01;2
Christopher MacGown;Piston Cloud;1900-01-01;2100-01-01;33
Chuck;Rackspace;1900-01-01;2100-01-01;102
Chuck Short;Canonical;1900-01-01;2100-01-01;255
Chuck Short;Rackspace;1900-01-01;2100-01-01;255
Cian O'Driscoll;HP;1900-01-01;2100-01-01;5
Clark Boylan;HP;2012-04-23;2100-01-01;593
Claudiu Belu;Cloudbase Solutions;1900-01-01;2100-01-01;2
Claxton;Rackspace;1900-01-01;2100-01-01;1
clayg;Rackspace;1900-01-01;2100-01-01;135
Clint Byrum;Canonical;1900-01-01;2100-01-01;270
Cody A.W. Somerville;HP;1900-01-01;2100-01-01;5
Cole Robinson;Red Hat;1900-01-01;2100-01-01;10
Colin McNamara;Nexus IS;1900-01-01;2100-01-01;17
Colin Nicholson;iomart Group;1900-01-01;2100-01-01;6
Conrad Weidenkeller;Rackspace;1900-01-01;2100-01-01;8
Constantine Peresypkin;LiteStack;1900-01-01;2100-01-01;3
Cory Stone;Rackspace;1900-01-01;2100-01-01;13
Cory Wright;Rackspace;1900-01-01;2100-01-01;46
Craig Tracey;HubSpot;1900-01-01;2100-01-01;1
Craig Vyvial;Rackspace;1900-01-01;2100-01-01;37
Craig Winter;-Individual;1900-01-01;2100-01-01;1
Cyril Roelandt;eNovance;2013-07-18;2100-01-01;15
Dae S. Kim;-Individual;1900-01-01;2100-01-01;1
Dan Bode;Puppet Labs;2013-01-01;2100-01-01;10
Dan Florea;Cisco Systems;1900-01-01;2100-01-01;8
Dan Hersam;HP;1900-01-01;2100-01-01;2
Dan Nguyen;HP;1900-01-01;2100-01-01;1
Dan Prince;Rackspace;1900-01-01;2012-02-03;334
Dan Prince;Red Hat;2012-02-03;2100-01-01;510
Dan Radez;Red Hat;1900-01-01;2100-01-01;3
Dan Smith;IBM;1900-01-01;2100-01-01;345
Dan Stangel;HP;1900-01-01;2100-01-01;1
Dan Wendlandt;Nicira;1900-01-01;2012-07-23;151
Dan Wendlandt;VMware;2012-07-23;2100-01-01;87
Dane LeBlanc;Cisco Systems;2013-03-26;2100-01-01;11
Daneyon Hansen;Cisco Systems;1900-01-01;2100-01-01;1
Daniel Givens;Rackspace;1900-01-01;2100-01-01;2
Daniel P. Berrange;Red Hat;1900-01-01;2100-01-01;128
Daniel Salinas;Rackspace;1900-01-01;2100-01-01;2
Daniel Wallace;Rackspace;1900-01-01;2100-01-01;1
daniel-a-nguyen;HP;2012-12-11;2100-01-01;22
Daniele Valeriani;Rackspace;1900-01-01;2100-01-01;1
danwent@gmail.com;VMware;1900-01-01;2100-01-01;8
Darragh Bailey;HP;1900-01-01;2100-01-01;6
Darragh O'Reilly;-Individual;1900-01-01;2100-01-01;9
Darrell Bishop;SwiftStack;1900-01-01;2100-01-01;34
Darren Birkett;Rackspace;1900-01-01;2100-01-01;12
Davanum Srinivas;IBM;1900-01-01;2100-01-01;155
Dave Lapsley;Nicira;1900-01-01;2012-07-23;6
Dave Walker (Daviey);Canonical;1900-01-01;2100-01-01;20
Dave Wilde;Rackspace;1900-01-01;2100-01-01;2
David Besen;HP;1900-01-01;2100-01-01;2
David Boucha;SaltStack Inc.;1900-01-01;2100-01-01;2
David Caro;Red Hat;2013-08-01;2100-01-01;10
David Goetz;Rackspace;1900-01-01;2100-01-01;177
David Hadas;IBM;1900-01-01;2100-01-01;25
David Hill;Ubisoft;1900-01-01;2100-01-01;3
David Höppner;-Individual;1900-01-01;2100-01-01;3
David Kang;ISI;1900-01-01;2100-01-01;2
David Kranz;Red Hat;2012-01-20;2100-01-01;61
David Lenwell;HP;1900-01-01;2100-01-01;5
David Lyle;HP;1900-01-01;2100-01-01;30
david martin;Redbrick Health;1900-01-01;2100-01-01;2
David McNally;HP;1900-01-01;2100-01-01;9
David Mortman;enStratus;1900-01-01;2100-01-01;2
David Peraza;IBM;1900-01-01;2100-01-01;10
David Ripton;Red Hat;1900-01-01;2100-01-01;52
David Shrewsbury;HP;1900-01-01;2100-01-01;29
David Stanek;AG Interactive;1900-01-01;2100-01-01;7
David Subiros;HP;1900-01-01;2100-01-01;9
David Wittman;Rackspace;1900-01-01;2100-01-01;11
David Xie;Platform Computing;1900-01-01;2100-01-01;1
david-hendler;Rackspace;1900-01-01;2100-01-01;3
Dazhao;IBM;2013-09-06;2100-01-01;2
dcramer;Rackspace;1900-01-01;2100-01-01;25
Dean Troyer;Nebula;2012-07-20;2100-01-01;79
Dean Troyer;Rackspace;1900-01-01;2012-07-20;95
Debasish Chowdhury;GlobalLogic;1900-01-01;2100-01-01;1
Debo;Cisco Systems;1900-01-01;2100-01-01;1
Deepak Garg;Citrix;1900-01-01;2100-01-01;4
Deepak N;ThoughtWorks;1900-01-01;2100-01-01;65
Deepti Navale;Red Hat;2013-08-07;2100-01-01;10
deevi rani;Persistent;1900-01-01;2100-01-01;2
dekehn;HP;1900-01-01;2100-01-01;6
Denis Makogon;Mirantis;2013-08-30;2100-01-01;7
Deniz Demir;HP;2012-12-18;2100-01-01;2
Dennis Kliban;Red Hat;1900-01-01;2100-01-01;2
DennyZhang;UnitedStack;1900-01-01;2100-01-01;15
Derek Chiang;Nebula;2013-05-22;2100-01-01;1
Derek Higgins;Red Hat;1900-01-01;2100-01-01;105
Dermot Tynan;HP;1900-01-01;2100-01-01;3
Derrick J. Wippler;Rackspace;1900-01-01;2100-01-01;1
desbonne;HP;1900-01-01;2100-01-01;18
Devananda van der Veen;HP;2012-03-01;2100-01-01;253
Devdeep Singh;Citrix;1900-01-01;2100-01-01;1
Devendra Modium;ISI;1900-01-01;2100-01-01;7
Devin Carlen;Nebula;1900-01-01;2100-01-01;136
Diane Fleming;Rackspace;1900-01-01;2100-01-01;242
Diego Parrilla;Stakops;1900-01-01;2100-01-01;1
Dietmar Noll;IBM;1900-01-01;2100-01-01;1
Dina Belova;Mirantis;1900-01-01;2100-01-01;9
Dinesh Subhraveti;IBM;2013-07-09;2100-01-01;1
Dirk Mueller;SUSE;1900-01-01;2100-01-01;220
divakar-padiyar-nandavar;HP;1900-01-01;2100-01-01;4
DJ Johnstone;Rackspace;2013-01-24;2100-01-01;4
dk647;Sina;1900-01-01;2100-01-01;6
Dmitriy Ukhlov;Mirantis;2013-09-24;2100-01-01;1
Dmitry Khovyakov;Grid Dynamics;1900-01-01;2100-01-01;3
Dmitry Spikhalskiy;iDa Mobile;1900-01-01;2100-01-01;2
Dolph Mathews;Rackspace;1900-01-01;2100-01-01;663
Dominik Heidler;SUSE;1900-01-01;2100-01-01;4
Don Dugger;Intel;1900-01-01;2100-01-01;2
Donagh McCabe;HP;1900-01-01;2100-01-01;13
Donal Lafferty;Citrix;1900-01-01;2100-01-01;23
donald-ngo;HP;1900-01-01;2100-01-01;8
Dongdong Zhou;-Individual;1900-01-01;2100-01-01;5
Donovan Finch;-Individual;1900-01-01;2100-01-01;1
Doug Hellmann;DreamHost;1900-01-01;2100-01-01;257
Dragos Manolescu;HP;1900-01-01;2100-01-01;3
Dror Kagan;HP;1900-01-01;2100-01-01;9
Du Yujie;99cloud;1900-01-01;2100-01-01;1
Duncan McGreggor;DreamHost;1900-01-01;2100-01-01;11
Duncan Thomas;HP;1900-01-01;2100-01-01;3
dwalleck;Rackspace;1900-01-01;2100-01-01;39
e0ne;Mirantis;1900-01-01;2100-01-01;13
Eamonn O'Toole;HP;1900-01-01;2100-01-01;2
Ed Bak;HP;1900-01-01;2100-01-01;2
Ed Cranford;Rackspace;2012-03-21;2100-01-01;81
Ed Kern;Cisco Systems;1900-01-01;2100-01-01;6
eddie-sheffield;Rackspace;1900-01-01;2100-01-01;7
Edgar Magana;Cisco Systems;1900-01-01;2100-01-01;43
EdLeafe;Rackspace;1900-01-01;2100-01-01;101
Édouard Thuleau;Cloudwatt;1900-01-01;2100-01-01;19
Eduardo Patrocinio;IBM;1900-01-01;2100-01-01;7
Edward Hope-Morley;Canonical;2013-05-07;2100-01-01;26
Ekaterina Fedorova;Mirantis;2013-08-22;2100-01-01;1
Eldar Nugaev;Grid Dynamics;1900-01-01;2100-01-01;61
Elena Ezhova;Mirantis;2013-07-16;2100-01-01;16
Elizabeth Krumbach Joseph;HP;1900-01-01;2100-01-01;74
Emanuele Rocca;VU Univ. Amsterdam;1900-01-01;2100-01-01;2
Emilien Macchi;eNovance;1900-01-01;2100-01-01;66
EmilienM;eNovance;2012-09-18;2100-01-01;12
Endre Karlson;-Individual;1900-01-01;2100-01-01;13
Eoghan Glynn;Red Hat;1900-01-01;2100-01-01;258
Eohyung Lee;Korea Telecom;1900-01-01;2100-01-01;4
Eric Day;Rackspace;1900-01-01;2100-01-01;74
Eric Erfanian;-Individual;1900-01-01;2100-01-01;6
Eric Harney;Red Hat;1900-01-01;2100-01-01;77
Eric Pendergrass;HP;1900-01-01;2100-01-01;1
Eric Windisch;Cloudscaling;1900-01-01;2100-01-01;92
ericpeterson-l;HP;1900-01-01;2100-01-01;5
Erik Zaadi;IBM;1900-01-01;2100-01-01;4
Erwan Gallen;Cloudwatt;1900-01-01;2100-01-01;3
Etsuji Nakai;Red Hat;1900-01-01;2100-01-01;2
Eugene Nikanorov;Mirantis;1900-01-01;2100-01-01;53
Evan Callicoat;Rackspace;1900-01-01;2100-01-01;1
Everett Toews;Rackspace;1900-01-01;2100-01-01;4
Evgeny Fadeev;Askbot;1900-01-01;2100-01-01;19
Ewan Mellor;Citrix;1900-01-01;2100-01-01;132
Fabien Boucher;eNovance;1900-01-01;2100-01-01;12
Fabio Giannetti;HP;1900-01-01;2100-01-01;5
Fei Long Wang;IBM;1900-01-01;2100-01-01;37
Felipe Reyes;-Individual;1900-01-01;2100-01-01;3
Fengqian Gao;Intel;2013-06-20;2100-01-01;8
Ferran Rodenas;VMware;1900-01-01;2100-01-01;1
Flaper Fesp;Red Hat;1900-01-01;2100-01-01;154
Flavio Percoco;Red Hat;2013-01-14;2100-01-01;1
Floren Llanos;-Individual;1900-01-01;2100-01-01;1
Florian Haas;Hastexo;1900-01-01;2100-01-01;17
Florian Hines;Rackspace;1900-01-01;2100-01-01;36
François Charlier;eNovance;1900-01-01;2100-01-01;13
Francois Deppierraz;Nimag Networks;1900-01-01;2100-01-01;1
Francois Eleouet;Orange;1900-01-01;2100-01-01;8
François Rossigneux;INRIA;1900-01-01;2100-01-01;8
Frederic FAURE;Ysance;1900-01-01;2100-01-01;2
Frederic Lepied;eNovance;1900-01-01;2100-01-01;6
fujioka yuuichi;NEC;1900-01-01;2100-01-01;10
Gabe Westmaas;Rackspace;1900-01-01;2100-01-01;8
Gabriel Hurley;Nebula;1900-01-01;2100-01-01;409
Gabriel Wainer;-Individual;1900-01-01;2100-01-01;5
Gary Kotton;Red Hat;1900-01-01;2012-07-01;21
Gary Kotton;VMware;2012-07-01;2100-01-01;302
garyduan;vArmour Networks;1900-01-01;2100-01-01;1
garyk;Radware;1900-01-01;2100-01-01;1
Gaurav Gupta;Denali Systems;1900-01-01;2100-01-01;10
gaurav@gluster.com;Red Hat;2011-07-27;2100-01-01;2
Gauvain Pocentek;Objectif-libre;1900-01-01;2100-01-01;24
Gavin Brebner;HP;1900-01-01;2100-01-01;5
gengjh;IBM;1900-01-01;2100-01-01;16
Gerardo Porras;Yahoo!;1900-01-01;2100-01-01;2
Ghe Rivero;HP;1900-01-01;2100-01-01;68
gholt;Rackspace;1900-01-01;2100-01-01;392
Giampaolo Lauria;IBM;1900-01-01;2100-01-01;49
Giulio Fidente;Red Hat;1900-01-01;2100-01-01;31
gongysh;IBM;1900-01-01;2100-01-01;127
Gordon Chung;IBM;1900-01-01;2100-01-01;46
Graham Binns;Canonical;1900-01-01;2100-01-01;1
Greg Althaus;NetApp;1900-01-01;2100-01-01;3
Greg Ball;Rackspace;1900-01-01;2100-01-01;1
Greg Blomquist;Red Hat;1900-01-01;2100-01-01;2
Greg Lange;Rackspace;1900-01-01;2100-01-01;48
gtt116;-Individual;1900-01-01;2100-01-01;12
Guan Qiang;NetEase;2012-12-11;2100-01-01;2
Guang Chun Wu;IBM;1900-01-01;2100-01-01;1
guang-yee;HP;1900-01-01;2100-01-01;28
Guangya Liu;IBM;2013-07-05;2100-01-01;1
Guangyu Suo;Cloudbase Solutions;1900-01-01;2100-01-01;8
guohliu;IBM;2013-04-19;2100-01-01;14
guoqingzhang;-Individual;1900-01-01;2100-01-01;1
Haiwei Xu;NEC;1900-01-01;2100-01-01;9
Haneef Ali;HP;1900-01-01;2100-01-01;2
Hans Lindgren;KTH Institute of Tech.;1900-01-01;2100-01-01;60
Haomai Wang;Cloudbase Solutions;1900-01-01;2100-01-01;16
Haomeng, Wang;IBM;2013-09-03;2100-01-01;6
Harri Hämäläinen;CSC;1900-01-01;2100-01-01;2
Hart Hoover;Rackspace;1900-01-01;2100-01-01;1
He Jie Xu;IBM;1900-01-01;2100-01-01;122
He Yongli;Intel;2013-08-21;2100-01-01;13
Hemanth Makkapati;Rackspace;1900-01-01;2100-01-01;2
Hendrik Volkmer;Cloudbau;1900-01-01;2100-01-01;2
Hengqing Hu;-Individual;1900-01-01;2100-01-01;39
Henry Nash;IBM;1900-01-01;2100-01-01;44
HenryVIII;Cisco Systems;1900-01-01;2100-01-01;13
hi2suresh;HP;1900-01-01;2100-01-01;7
Hidekazu Nakamura;NEC;1900-01-01;2100-01-01;1
hill;IBM;1900-01-01;2100-01-01;1
Hirofumi Ichihara;NTT;1900-01-01;2100-01-01;6
Hisaharu Ishii;NTT;1900-01-01;2100-01-01;27
Hisaki Ohara;Intel;1900-01-01;2100-01-01;2
Hoisaleshwara Madan V S;IBM;1900-01-01;2100-01-01;1
Hugh Saunders;Rackspace;1900-01-01;2100-01-01;6
Hui HX Xiang;IBM;2013-08-07;2100-01-01;11
hwbi;Windawn;1900-01-01;2100-01-01;1
hyphon-zh;-Individual;1900-01-01;2100-01-01;2
Hyunsun Moon;-Individual;1900-01-01;2100-01-01;1
Ian Main;Red Hat;1900-01-01;2100-01-01;51
Ian Wells;Cisco Systems;1900-01-01;2100-01-01;1
Ian Wienand;Red Hat;2013-07-24;2100-01-01;2
Ignacio Barrio;Stackops;1900-01-01;2100-01-01;1
Illia Khudoshyn;Mirantis;2013-09-12;2100-01-01;4
Ilya Alekseyev;Grid Dynamics;1900-01-01;2100-01-01;56
Ilya Kharin;Mirantis;1900-01-01;2100-01-01;6
Ilya Persky;Yahoo!;1900-01-01;2100-01-01;1
Ilya Shakhat;Mirantis;1900-01-01;2100-01-01;8
Imre Farkas;Red Hat;1900-01-01;2100-01-01;4
Inbar;IBM;1900-01-01;2100-01-01;1
Ionuț Arțăriși;SUSE;1900-01-01;2100-01-01;55
Irena Berezovsky;Mellanox Tech.;1900-01-01;2100-01-01;2
Iryoung Jeong;-Individual;1900-01-01;2100-01-01;10
Isaku Yamahata;VA Linux;1900-01-01;2100-01-01;120
isethi;Rackspace;1900-01-01;2100-01-01;39
Itzik Brown;Mellanox Tech.;1900-01-01;2100-01-01;1
ivan-zhu;IBM;1900-01-01;2100-01-01;58
Ivar Lazzaro;Embrane Inc.;1900-01-01;2100-01-01;3
J. Daniel Schmidt;SUSE;1900-01-01;2100-01-01;11
J. Matt Peterson;iPlant Collaborative;1900-01-01;2100-01-01;1
Jack Peter Fletcher;Cisco Systems;1900-01-01;2100-01-01;1
Jaime Gil de Sagredo Luna;Stackops;1900-01-01;2100-01-01;1
Jake Liu;UnitedStack;1900-01-01;2100-01-01;6
jakedahn;Ansolabs ;1900-01-01;2011-04-01;16
jakedahn;Nebula;2012-07-20;2100-01-01;6
jakedahn;Rackspace;2011-04-01;2012-07-20;117
Jakub Krajcovic;Rackspace;1900-01-01;2100-01-01;1
Jakub Libosvar;Red Hat;1900-01-01;2100-01-01;2
Jakub Ruzicka;Red Hat;1900-01-01;2100-01-01;21
James E. Blair;HP;2011-12-01;2012-12-08;604
James E. Blair;OpenStack Foundation;2012-12-08;2100-01-01;522
James E. Blair;Rackspace;1900-01-01;2011-12-01;161
James Li;HP;1900-01-01;2100-01-01;6
James Meredith;Rackspace;1900-01-01;2100-01-01;1
James Morgan;Rackspace;1900-01-01;2100-01-01;1
James Page;Canonical;1900-01-01;2100-01-01;1
James Slagle;Red Hat;2013-03-30;2100-01-01;24
Jamie Lennox;Red Hat;1900-01-01;2100-01-01;48
Jan Grant;HP;1900-01-01;2100-01-01;1
Jan Provaznik;Red Hat;1900-01-01;2100-01-01;9
Janis Gengeris;-Individual;1900-01-01;2100-01-01;2
Jared Culp;Rackspace;2013-07-09;2100-01-01;3
Jaroslav Henner;Red Hat;1900-01-01;2100-01-01;12
Jasakov Artem;Mirantis;1900-01-01;2100-01-01;3
Jason Cannavale;Rackspace;1900-01-01;2100-01-01;24
Jason Dillaman;Red Hat;1900-01-01;2100-01-01;4
